label: gai, predicted: jai, incorrect! 
label: open, predicted: aten, incorrect! 
label: mirates, predicted: aten, incorrect! 
label: runaways, predicted: runawers, incorrect! 
label: curb, predicted: curb, correct! 
label: wheels, predicted: whis, incorrect! 
label: gear, predicted: cten, incorrect! 
label: park, predicted: park, correct! 
label: brake, predicted: brazs, incorrect! 
label: set, predicted: set, correct! 
label: prevent, predicted: prevelt, incorrect! 
label: afghanistan, predicted: afghanistan, correct! 
label: out, predicted: out, correct! 
label: d, predicted: aten, incorrect! 
label: nds, predicted: aten, incorrect! 
label: stop, predicted: saten, incorrect! 
label: stopping, predicted: stopping, correct! 
label: no, predicted: no, correct! 
label: honk, predicted: honk, correct! 
label: penalty, predicted: penalty, correct! 
label: liberty, predicted: cly, incorrect! 
label: swiftair, predicted: swittawy, incorrect! 
label: arra, predicted: arra, correct! 
label: vtr, predicted: w, incorrect! 
label: donors, predicted: donors, correct! 
label: strand, predicted: strand, correct! 
label: homeless, predicted: homelest, incorrect! 
label: thank, predicted: thank, correct! 
label: you, predicted: you, correct! 
label: umberla, predicted: umbrella, incorrect! 
label: drive, predicted: drive, correct! 
label: innovations, predicted: te, incorrect! 
label: 2013, predicted: 2013, correct! 
label: joshua, predicted: joshua, correct! 
label: tree, predicted: tree, correct! 
label: park, predicted: park, correct! 
label: national, predicted: national, correct! 
label: replace, predicted: replace, correct! 
label: burton, predicted: burton, correct! 
label: cream, predicted: cream, correct! 
label: fighters, predicted: fighters, correct! 
label: durable, predicted: durable, correct! 
label: verizon, predicted: verizon, correct! 
label: batman, predicted: batman, correct! 
label: lands, predicted: lands, correct! 
label: thanks, predicted: thanks, correct! 
label: surround, predicted: surround, correct! 
label: remark, predicted: remark, correct! 
label: nervous, predicted: nervous, correct! 
label: romantic, predicted: romantic, correct! 
label: boundary, predicted: boundary, correct! 
label: viewing, predicted: viewing, correct! 
label: constant, predicted: constant, correct! 
label: luggage, predicted: luggage, correct! 
label: prevent, predicted: prevent, correct! 
label: trips, predicted: trips, correct! 
label: honest, predicted: honest, correct! 
label: breath, predicted: breath, correct! 
label: syracuse, predicted: syracuse, correct! 
label: butter, predicted: butter, correct! 
label: europe, predicted: europe, correct! 
label: subjects, predicted: subjects, correct! 
label: reading, predicted: readings, incorrect! 
label: maintained, predicted: maintained, correct! 
label: halfcom, predicted: halfcom, correct! 
label: deserve, predicted: deserve, correct! 
label: reaches, predicted: reaches, correct! 
label: category, predicted: category, correct! 
label: ability, predicted: ability, correct! 
label: discipline, predicted: disdipline, incorrect! 
label: logical, predicted: logical, correct! 
label: social, predicted: social, correct! 
label: fighter, predicted: fighter, correct! 
label: saudi, predicted: saudi, correct! 
label: chris, predicted: chris, correct! 
label: brook, predicted: brook, correct! 
label: solomon, predicted: solomon, correct! 
label: kernel, predicted: kernel, correct! 
label: guarantee, predicted: guarantee, correct! 
label: profit, predicted: profit, correct! 
label: atmosphere, predicted: atmosphere, correct! 
label: sector, predicted: sector, correct! 
label: global, predicted: global, correct! 
label: escort, predicted: escort, correct! 
label: layout, predicted: layout, correct! 
label: string, predicted: striing, incorrect! 
label: doctors, predicted: doctors, correct! 
Result: 113/191
