label: gai, predicted: cai, incorrect! 
label: fird, predicted: fill, incorrect! 
label: ur, predicted: ur, correct! 
label: iz, predicted: 12, incorrect! 
label: prise, predicted: prise, correct! 
label: 3rd, predicted: 3rd, correct! 
label: schuyler, predicted: some, incorrect! 
label: stop, predicted: stop, correct! 
label: war, predicted: substantiation, incorrect! 
label: feroglobin, predicted: feroglobin, correct! 
label: stop, predicted: stop, correct! 
label: x, predicted: the, incorrect! 
label: atm, predicted: the, incorrect! 
label: for, predicted: for, correct! 
label: rent, predicted: rent, correct! 
label: 594, predicted: 594, correct! 
label: i, predicted: i, correct! 
label: cabbage, predicted: cabbage, correct! 
label: town, predicted: town, correct! 
label: break, predicted: break, correct! 
label: fast, predicted: fast, correct! 
label: lunch, predicted: lunch, correct! 
label: break, predicted: the, incorrect! 
label: lunch, predicted: the, incorrect! 
label: cafe, predicted: the, incorrect! 
label: um, predicted: the, incorrect! 
label: twentieth, predicted: lands, incorrect! 
label: collection, predicted: colleaning, incorrect! 
label: marilyn, predicted: starilyn, incorrect! 
label: marc, predicted: marc, correct! 
label: tennis, predicted: tennis, correct! 
label: state, predicted: customand, incorrect! 
label: sodexho, predicted: sodexho, correct! 
label: tango, predicted: tango, correct! 
label: fujitsu, predicted: the, incorrect! 
label: sieme, predicted: the, incorrect! 
label: chakvetadze, predicted: controllan, incorrect! 
label: ortis, predicted: orris, incorrect! 
label: clare, predicted: clare, correct! 
label: dragoon, predicted: bragoon, incorrect! 
label: england, predicted: england, correct! 
label: bulova, predicted: burova, incorrect! 
label: atch, predicted: latch, incorrect! 
label: twin, predicted: tin, incorrect! 
label: ve, predicted: ve, correct! 
label: sp, predicted: spi, incorrect! 
label: i, predicted: i, correct! 
label: 13, predicted: 13, correct! 
label: 17, predicted: 17, correct! 
label: bridget, predicted: the, incorrect! 
label: series, predicted: the, incorrect! 
label: open, predicted: the, incorrect! 
label: mirates, predicted: the, incorrect! 
label: runaways, predicted: runaw, incorrect! 
label: curb, predicted: curb, correct! 
label: wheels, predicted: while, incorrect! 
label: gear, predicted: can, incorrect! 
label: park, predicted: park, correct! 
label: brake, predicted: brain, incorrect! 
label: set, predicted: set, correct! 
label: prevent, predicted: prevent, correct! 
label: afghanistan, predicted: afghanistan, correct! 
label: out, predicted: out, correct! 
label: d, predicted: the, incorrect! 
label: nds, predicted: the, incorrect! 
label: stop, predicted: the, incorrect! 
label: stopping, predicted: stopping, correct! 
label: no, predicted: no, correct! 
label: honk, predicted: honk, correct! 
label: penalty, predicted: penalty, correct! 
label: liberty, predicted: will, incorrect! 
label: swiftair, predicted: swiften, incorrect! 
label: arra, predicted: arra, correct! 
label: vtr, predicted: vtr, correct! 
label: donors, predicted: donors, correct! 
label: strand, predicted: strand, correct! 
label: homeless, predicted: homeless, correct! 
label: thank, predicted: thank, correct! 
label: you, predicted: you, correct! 
label: umberla, predicted: umbrella, incorrect! 
label: drive, predicted: drive, correct! 
label: innovations, predicted: the, incorrect! 
label: 2013, predicted: 2013, correct! 
label: joshua, predicted: joshua, correct! 
label: tree, predicted: tree, correct! 
label: park, predicted: park, correct! 
label: national, predicted: national, correct! 
label: replace, predicted: replace, correct! 
label: burton, predicted: burton, correct! 
label: cream, predicted: cream, correct! 
label: fighters, predicted: fighters, correct! 
label: durable, predicted: durable, correct! 
label: verizon, predicted: verizon, correct! 
label: batman, predicted: batman, correct! 
label: lands, predicted: lands, correct! 
label: thanks, predicted: thanks, correct! 
label: surround, predicted: surround, correct! 
label: remark, predicted: remark, correct! 
label: nervous, predicted: nervous, correct! 
label: romantic, predicted: romantic, correct! 
label: boundary, predicted: boundary, correct! 
label: viewing, predicted: viewing, correct! 
label: constant, predicted: constant, correct! 
label: luggage, predicted: luggage, correct! 
label: prevent, predicted: prevent, correct! 
label: trips, predicted: trips, correct! 
label: honest, predicted: honest, correct! 
label: breath, predicted: breath, correct! 
label: syracuse, predicted: syracuse, correct! 
label: butter, predicted: butter, correct! 
label: europe, predicted: europe, correct! 
label: subjects, predicted: subjects, correct! 
label: reading, predicted: readings, incorrect! 
label: maintained, predicted: maintained, correct! 
label: halfcom, predicted: halfcom, correct! 
label: deserve, predicted: deserve, correct! 
label: reaches, predicted: reaches, correct! 
label: category, predicted: category, correct! 
label: ability, predicted: ability, correct! 
label: discipline, predicted: discipline, correct! 
label: logical, predicted: logical, correct! 
label: social, predicted: social, correct! 
label: fighter, predicted: fighter, correct! 
label: saudi, predicted: saudi, correct! 
label: chris, predicted: chris, correct! 
label: brook, predicted: brook, correct! 
label: solomon, predicted: solomon, correct! 
label: kernel, predicted: kernel, correct! 
label: guarantee, predicted: guarantee, correct! 
label: profit, predicted: profit, correct! 
label: atmosphere, predicted: atmosphere, correct! 
label: sector, predicted: sector, correct! 
label: global, predicted: global, correct! 
label: escort, predicted: escort, correct! 
label: layout, predicted: layout, correct! 
label: string, predicted: string, correct! 
label: doctors, predicted: doctors, correct! 
Result: 124/191
