label: gai, predicted: cai, incorrect! 
label: rent, predicted: rent, correct! 
label: 594, predicted: 594, correct! 
label: i, predicted: i, correct! 
label: cabbage, predicted: cabbage, correct! 
label: town, predicted: town, correct! 
label: break, predicted: break, correct! 
label: fast, predicted: fast, correct! 
label: lunch, predicted: lunch, correct! 
label: break, predicted: propen, incorrect! 
label: lunch, predicted: propen, incorrect! 
label: cafe, predicted: propen, incorrect! 
label: um, predicted: propen, incorrect! 
label: twentieth, predicted: interception, incorrect! 
label: collection, predicted: collection, correct! 
label: marilyn, predicted: starily, incorrect! 
label: marc, predicted: marc, correct! 
label: tennis, predicted: tennis, correct! 
label: state, predicted: cuntiand, incorrect! 
label: sodexho, predicted: sodexho, correct! 
label: tango, predicted: ptango, incorrect! 
label: fujitsu, predicted: propen, incorrect! 
label: sieme, predicted: propen, incorrect! 
label: chakvetadze, predicted: and, incorrect! 
label: ortis, predicted: date, incorrect! 
label: clare, predicted: clare, correct! 
label: dragoon, predicted: dragoon, correct! 
label: england, predicted: england, correct! 
label: bulova, predicted: bulova, correct! 
label: atch, predicted: atch, correct! 
label: twin, predicted: tint, incorrect! 
label: ve, predicted: ive, incorrect! 
label: sp, predicted: spi, incorrect! 
label: i, predicted: i, correct! 
label: 13, predicted: 1, incorrect! 
label: 17, predicted: 17, correct! 
label: bridget, predicted: propen, incorrect! 
label: series, predicted: propen, incorrect! 
label: open, predicted: propen, incorrect! 
label: mirates, predicted: propen, incorrect! 
label: runaways, predicted: runawing, incorrect! 
label: curb, predicted: curb, correct! 
label: wheels, predicted: whiter, incorrect! 
label: gear, predicted: child, incorrect! 
label: park, predicted: park, correct! 
label: brake, predicted: brain, incorrect! 
label: set, predicted: set, correct! 
label: prevent, predicted: prevering, incorrect! 
label: afghanistan, predicted: afghanistan, correct! 
label: out, predicted: out, correct! 
label: d, predicted: propen, incorrect! 
label: nds, predicted: propen, incorrect! 
label: stop, predicted: replyto, incorrect! 
label: stopping, predicted: stopping, correct! 
label: no, predicted: no, correct! 
label: honk, predicted: honk, correct! 
label: penalty, predicted: penalty, correct! 
label: liberty, predicted: will, incorrect! 
label: swiftair, predicted: swittain, incorrect! 
label: arra, predicted: arra, correct! 
label: vtr, predicted: are, incorrect! 
label: donors, predicted: donors, correct! 
label: strand, predicted: strand, correct! 
label: homeless, predicted: homeless, correct! 
label: thank, predicted: shank, incorrect! 
label: you, predicted: you, correct! 
label: umberla, predicted: umbrella, incorrect! 
label: drive, predicted: drive, correct! 
label: innovations, predicted: the, incorrect! 
label: 2013, predicted: 2013, correct! 
label: joshua, predicted: joshua, correct! 
label: tree, predicted: tree, correct! 
label: park, predicted: park, correct! 
label: national, predicted: national, correct! 
label: replace, predicted: replace, correct! 
label: burton, predicted: burton, correct! 
label: cream, predicted: cream, correct! 
label: fighters, predicted: fighters, correct! 
label: durable, predicted: durable, correct! 
label: verizon, predicted: verizon, correct! 
label: batman, predicted: batman, correct! 
label: lands, predicted: lands, correct! 
label: thanks, predicted: thanks, correct! 
label: surround, predicted: surround, correct! 
label: remark, predicted: remark, correct! 
label: nervous, predicted: nervous, correct! 
label: romantic, predicted: romantic, correct! 
label: boundary, predicted: boundary, correct! 
label: viewing, predicted: viewing, correct! 
label: constant, predicted: constant, correct! 
label: luggage, predicted: luggage, correct! 
label: prevent, predicted: prevent, correct! 
label: trips, predicted: trips, correct! 
label: honest, predicted: honest, correct! 
label: breath, predicted: breath, correct! 
label: syracuse, predicted: syracuse, correct! 
label: butter, predicted: butter, correct! 
label: europe, predicted: europe, correct! 
label: subjects, predicted: subjects, correct! 
label: reading, predicted: readings, incorrect! 
label: maintained, predicted: maintained, correct! 
label: halfcom, predicted: halfcom, correct! 
label: deserve, predicted: deserve, correct! 
label: reaches, predicted: reaches, correct! 
label: category, predicted: category, correct! 
label: ability, predicted: ability, correct! 
label: discipline, predicted: discipline, correct! 
label: logical, predicted: logical, correct! 
label: social, predicted: social, correct! 
label: fighter, predicted: fighter, correct! 
label: saudi, predicted: saudi, correct! 
label: chris, predicted: chris, correct! 
label: brook, predicted: brook, correct! 
label: solomon, predicted: solomon, correct! 
label: kernel, predicted: kernel, correct! 
label: guarantee, predicted: guarantee, correct! 
label: profit, predicted: profit, correct! 
label: atmosphere, predicted: atmosphere, correct! 
label: sector, predicted: sector, correct! 
label: global, predicted: global, correct! 
label: escort, predicted: escort, correct! 
label: layout, predicted: layout, correct! 
label: string, predicted: aring, incorrect! 
label: doctors, predicted: doctors, correct! 
Result: 121/191
